Original Orbis Name,Original Kununu Name,Similarity Score,Orbis Name (after preprocessing),Kununu Name (after preprocessing),Orbis ID,Kununu ID,NACE Code,Employees,City,Kununu Name Translated
doehler hosse stelzer gmbh & co kg,dhler hosse stelzer gmbh & co kg,97.297295,dohler hose stelzer,dhler hose stelzer,7101810,de45a8d6-fe5c-4285-80a5-8d926c3d7467,K - Financial and insurance activities,58.0,BRAUNSCHWEIG,dhler hosse stelzer gmbh &amp; co kg
b w w bauhaus werkstaetten wiesbaden gmbh,bauhaus werksttten wiesbaden,97.297295,bauhaus werkstatten,bauhaus werksttten,41210008,e14fa09a-2813-44ed-ad26-ca0021e3ab5a,Q - Human health and social work activities,158.0,WIESBADEN,bauhaus workshops wiesbaden
beichler & gruenenwald gmbh,beichler & grnenwald gmbh,97.297295,beichler grunenwald,beichler grnenwald,2668976,e2f8420e-7dea-4233-8a9e-0a7d7136ccd3,C - Manufacturing,84.0,LOECHGAU,beichler &amp; grnenwald gmbh
budde foerdertechnik gmbh,budde frdertechnik gmbh,97.297295,budde fordertechnik,budde frdertechnik,2425173,e7590694-5060-4d4a-b696-c62a776a44a6,C - Manufacturing,50.0,SCHMALKALDEN,budde conveyor technology gmbh
unofluechlingshilfe ev,unofluechtlingshilfe ev,97.297295,unofluchlingshilfe,unofluchtlingshilfe,31132220,ec69c93d-ce53-4d86-81da-e6b8b4a83861,Q - Human health and social work activities,53.0,BONN,unofluechtlingshilfe ev
diosna dierks & soehne gmbh,diosna dierks & shne gmbh,97.297295,diosna dierks sohne,diosna dierks shne,2372237,f2fc185b-289d-4413-8b0e-d001ff0df7af,C - Manufacturing,332.0,OSNABRUECK,diosna dierks &amp; sons gmbh
polytex sportbelaege produktionsgmbh,polytex sportbelge gmbh,97.297295,polytex sportbelage,polytex sportbelge,2575269,f49e8a2f-dce5-43ff-b455-a7b56b2ab5a1,C - Manufacturing,190.0,GREFRATH,polytex sportbelge gmbh
josef meethfensterfabrik gmbh & co kg,josef meeth fensterfabrik gmbh co kg,97.297295,meethfensterfabrik,meeth fensterfabrik,2590928,f6e830a7-4b35-4cf9-9658-d7ab666ac84b,C - Manufacturing,201.0,LAUFELD,josef meeth window factory gmbh co kg
cowa service gebaeudedienste gmbh,cowa service gebudedienstegmbh,97.297295,cowa gebaudedienste,cowa gebudedienste,15764159,fe7e6bc3-5504-43cd-af2a-2f803b2a76b0,N - Administrative and support service activities,1605.0,GOTTMADINGEN,cowa service building services gmbh
schuermann schuermann & schuermann steuerberatungsgesellschaft mbh,schrmann schrmann schrmann steuerberatungsgesellschaft mbh,97.2477,schurmann schurmann schurmann steurberatungsgesellschaft,schrmann schrmann schrmann steurberatungsgesellschaft,11438331,d3274126-6d7d-4abc-81a9-2fb499a1d7c8,"M - Professional, scientific and technical activities",65.0,BERLIN,schrmann schrmann schrmann tax consultancy company mbh
haevg hausaerztliche vertragsgemeinschaft aktiengesellschaft,hvg hausrztliche vertragsgemeinschaft ag,97.22222,havg hausarztliche vertrsgemeinschaft,hvg hausrztliche vertrsgemeinschaft,61728801,6bf40001-dcbe-48cc-b0e1-d280eb6b792d,N - Administrative and support service activities,337.0,KOELN,hvg general practitioners’ contract association ag
helmut ruebsamen gmbh & co kg metalldrueckereiumformtechnik,helmut rbsamen gmbh & co kg metalldrckereiumformtechnik,97.22222,rubsamen metalldruckereiumformtechnik,rbsamen metalldrckereiumformtechnik,2507896,a302745e-eadd-425e-ae3c-594ef5142cff,C - Manufacturing,350.0,BAD MARIENBERG,helmut rbsamen gmbh &amp; co kg metal printing technology
rowe mineraloelwerk gmbh,rowe minerallwerk gmbh,97.14286,rowe mineralolwerk,rowe minerallwerk,2688277,003f8962-6a6d-453b-8188-23d85f3a717a,C - Manufacturing,203.0,WORMS,rowe mineralwerk gmbh
duellberg konzentra gmbh & co kg,dllberg konzentra gmbh & co kg,97.14286,dullberg konzentra,dllberg konzentra,2320671,008baa61-5e7f-4069-961e-61a02adaee4b,C - Manufacturing,127.0,HAMBURG,dllberg konzentra gmbh &amp; co kg
oculus optikgeraete gmbh,oculus optikgerte gmbh,97.14286,oculus optikgerate,oculus optikgerte,2618351,049431c6-5c3d-4509-9341-e2727346e748,C - Manufacturing,416.0,WETZLAR,oculus optics gmbh
ottmann gmbh & co suedhausbau kg,ottmann gmbh & co sdhausbau kg,97.14286,ottmann sudhausbau,ottmann sdhausbau,2774807,0cf795d9-7138-4564-98f8-78bf1068109d,L - Real estate activities,137.0,MUENCHEN,ottmann gmbh &amp; co sdhausbau kg
der gruene punkt duales system deutschland gmbh,der grne punkt duales system deutschland gmbh,97.14286,grune punkt duales,grne punkt duales,49062640,0d5586df-b166-4a56-8b85-e7bc01754faf,N - Administrative and support service activities,209.0,KOELN,the green dot dual system germany gmbh
rdg gebaeudeservice gmbh,rdg gebudeservice gmbh,97.14286,rdg gebaudeservice,rdg gebudeservice,2291968,10c54df0-7d2b-46b9-b035-33222a67d1ad,N - Administrative and support service activities,55.0,DELMENHORST,rdg building service gmbh
thuega energienetze gmbh,thga energienetze gmbh,97.14286,thuga energienetze,thga energienetze,41236440,1417eb0d-8be9-42b3-9487-05748653df73,"D - Electricity, gas, steam and air conditioning supply",184.0,MUENCHEN,thga energy networks gmbh
swe suedwestenergie gmbh,swe sdwestenergie gmbh,97.14286,swe sudwestenergie,swe sdwestenergie,2703589,1e08dd9d-d975-4c57-a181-ee27a2e3529d,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,54.0,PFORZHEIM,swe sdwestenergie gmbh
hoecker polytechnik gmbh,hcker polytechnik gmbh,97.14286,hocker polytechnik,hcker polytechnik,2372855,21cded70-d69f-4118-a697-b37d05d51ae5,C - Manufacturing,228.0,HILTER,hcker polytechnik gmbh
klueber lubrication deutschland gmbh & co kg,klber lubrication deutschland se & co,97.14286,kluber lubrication,klber lubrication,16625627,22998007-0ee5-487a-8441-56c22f53f53d,C - Manufacturing,775.0,MUENCHEN,klber lubrication germany se &amp; co
jaeckstein ladenbau gmbh,jckstein ladenbau gmbh,97.14286,jackstein ladenbau,jckstein ladenbau,2390025,2bdc4a9d-7eb7-4739-8bc3-e2dbb1273d77,F - Construction,59.0,OSTSTEINBEK,jckstein shopfitting gmbh
sts spezial transformatoren stockach gmbh & co kg,sts spezialtransformatorenstockach gmbh & co kg,97.14286,sts spezial transformatoren stockach,sts spezialtransformatorenstockach,2684878,36b4d822-a375-4e6e-8459-041e91866141,C - Manufacturing,147.0,STOCKACH,sts special transformersstockach gmbh &amp; co kg
laempe moessner sinto gmbh,laempe mssner sinto gmbh,97.14286,lampe mosner sinto,lampe msner sinto,16854969,37846ece-a0ce-4270-af8b-1ec0bca1b7bf,C - Manufacturing,308.0,BARLEBEN,laempe mssner sinto gmbh
stadaarzneimittel ag,stada arzneimittel ag,97.14286,stadaarzneimittel,stada arzneimittel,59959620,37999392-e63e-440b-9fc3-57ce2bad84b4,C - Manufacturing,12310.0,BAD VILBEL,stada pharmaceuticals ag
vr bank mainkinzigbuedingen eg,vr bank mainkinzigbdingen eg,97.14286,mainkinzigbudingen,mainkinzigbdingen,58935030,3effda98-84e9-4a0e-a7c5-fb32a9e64eef,K - Financial and insurance activities,480.0,BUEDINGEN,vr bank mainkinzigbdingen eg
lauterbacher muehle klinik gmbh & co kg,lauterbacher mhle klinik gmbh & co kg,97.14286,lauterbacher muhle,lauterbacher mhle,2833632,40be84ea-9efb-4a00-85b2-354a04d5fe65,Q - Human health and social work activities,80.0,,lauterbacher mill clinic gmbh &amp; co kg
rws gebaeudeservice gmbh,rws gebudeservice gmbh,97.14286,rws gebaudeservice,rws gebudeservice,2413591,49864735-d88c-4688-a2ba-c0da6fd118dd,N - Administrative and support service activities,1639.0,LEIPZIG,rws building service gmbh
haeusliche krankenpflege wagschal gmbh,husliche krankenpflege wagschal gmbh,97.14286,hausliche wagschal,husliche wagschal,2535707,4a1f03fa-27e8-4c52-82c7-b64203127029,Q - Human health and social work activities,58.0,DUESSELDORF,home nursing wagschal gmbh
spardabank suedwest eg,spardabank sdwest eg,97.14286,spardabank sudwest,spardabank sdwest,6740161,4a28a34a-3b87-4ea0-a1ca-185ef4fa0e4c,K - Financial and insurance activities,722.0,MAINZ,spardabank sdwest eg
geg gebaeudedienste gmbh,geg gebudedienste gmbh,97.14286,geg gebaudedienste,geg gebudedienste,2648287,52b1adf1-d527-4428-bd53-a1fa20264203,N - Administrative and support service activities,1115.0,LONSHEIM,geg building services gmbh
euregioklinik albertschweitzerstrasse gmbh,euregioklinik albertschweitzerstrae gmbh,97.14286,euregioklinik albertschweitzerstrase,euregioklinik albertschweitzerstra,2392346,58e0f6ac-ab88-41e5-8f4b-f72879ab1b17,Q - Human health and social work activities,597.0,NORDHORN,euergioklinik albertschweitzerstrae gmbh
maier werkzeugmaschinen gmbh & co kg,ks tools werkzeugemaschinen gmbh,97.14286,werkzeugmaschinen,werkzeugemaschinen,99683573,66dfa77b-aaa6-4d32-9c2b-89475a026326,C - Manufacturing,45.0,WEHINGEN,ks tools machine tools gmbh
uni elektro fachgrosshandel gmbh & co kg,uni elektro fachgrohandel gmbh & co kg,97.14286,uni fachgroshandel,uni fachgrohandel,2611861,672e8b40-bd42-4501-bbdf-502fe12b2962,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1400.0,ESCHBORN,uni electro specialist wholesale gmbh &amp; co kg
buerstadt furniture gmbh,brstadt furniture gmbh,97.14286,burstadt furniture,brstadt furniture,2647925,68ad8ac6-f9c6-42f1-872b-848e52837631,C - Manufacturing,363.0,BUERSTADT,brstadt furniture gmbh
westkuestenkliniken brunsbuettel und heide ggmbh,westkstenkliniken brunsbttel und heide ggmbh,97.14286,westkustenkliniken brunsbuttel heide,westkstenkliniken brunsbttel heide,16916886,6e111b8b-6269-40ee-8ad2-ed029482b4cb,Q - Human health and social work activities,2625.0,HEIDE,west coast clinics brunsbttel and heide ggmbh
kemmlit bauelemente gesellschaft mit beschraenkter haftung,kemmlitbauelemente gmbh,97.14286,kemmlit baulemente,kemmlitbaulemente,2706781,7015b53b-2f5c-4a29-a302-6f3e795bdae8,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,232.0,DUSSLINGEN,kemmlit construction elements gmbh
hoppecke batterie systeme gmbh,hoppecke batterien deutschland,97.14286,hoppecke batterie,hoppecke batterien,2501037,74a141a2-bfd7-438b-885e-eff54eb72626,C - Manufacturing,146.0,BRILON,hoppecke batteries germany
baywa bau & gartenmaerkte gmbh & co kg,baywa bau und gartenmrkte gmbh & co kg,97.14286,baywa gartenmarkte,baywa gartenmrkte,125862685,7bcdd086-0be5-4525-b7a4-96250fdf1ab7,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,1517.0,DORTMUND,baywa construction and garden markets gmbh &amp; co kg
psd bank hessenthueringen eg,psd bank hessenthringen eg,97.14286,psd hesenthuringen,psd hesenthringen,53480892,7c8c9db9-b0cf-47a0-a2e1-748bea0b3b58,K - Financial and insurance activities,110.0,"ESCHBORN, TAUNUS",psd bank hessenthringen eg
hoevermann itgruppe gmbh,hvermann itgruppe gmbh,97.14286,hovermann itgruppe,hvermann itgruppe,50916015,7e6d391d-070d-45de-9d16-77e9044f2890,J - Information and communication,52.0,IBBENBUEREN,hvermann it group gmbh
moehrle happ luther service gmbh,mhrle happ luther,97.14286,mohrle happ luther,mhrle happ luther,2322897,7fad871e-7a0b-44d7-8623-ed7b8e1a22b1,L - Real estate activities,36.0,HAMBURG,mhrle happ luther
pokolm fraestechnik gmbh & co kg,pokolm frstechnik gmbh & co kg,97.14286,pokolm frastechnik,pokolm frstechnik,2474932,8147e9e9-342a-4a4f-ae1e-c8a24e08a0c4,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,85.0,HARSEWINKEL,pokolm frstechnik gmbh &amp; co kg
sparkasse goettingen,sparkasse gttingen,97.14286,sparkase gottingen,sparkase gttingen,754571,8236ae49-50de-4cc8-b221-e1c9bd095892,K - Financial and insurance activities,640.0,GOETTINGEN,savings bank gttingen
osmaaufzuege albert schenk gmbh & cokg,osmaaufzge albert schenk gmbh & co kg,97.14286,osmaaufzuge schenk,osmaaufzge schenk,2372504,853eb03f-a3de-403d-bc99-54d96c8f39ad,C - Manufacturing,701.0,OSNABRUECK,osmaaufzge albert schenk gmbh &amp; co kg
hobbybaeckerversand gmbh,hobbybckerversand gmbh,97.14286,hobbybackerversand,hobbybckerversand,193055553,885a18ba-00c8-4dba-bc81-3959e90f1181,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,91.0,BELLENBERG,hobbybckerversand gmbh
gett geraetetechnik gmbh,gett gertetechnik gmbh,97.14286,gett geratetechnik,gett gertetechnik,2764529,8d3e6d01-dacc-409a-935f-57a6320f9dc1,C - Manufacturing,137.0,HARTMANNSGRUEN,gett equipment technology gmbh
schoelly fiberoptic gmbh,schlly fiberoptic gmbh,97.14286,scholly fiberoptic,schlly fiberoptic,2654814,8fb8e078-2f8a-4d41-98d2-8ba055d0dcb6,C - Manufacturing,321.0,DENZLINGEN,schlly fiberoptic gmbh
fg architekten und sachverstaendige gmbh,fg architekten und sachverstndige gmbh,97.14286,fg sachverstandige,fg sachverstndige,504898813,927f64f1-42ec-462a-906a-42e236da7dfb,"M - Professional, scientific and technical activities",71.0,SONTHOFEN,fg architects and experts gmbh
ingenieurbuero n muth gmbh & co kg,ingenieurbro n muth gmbh & co kg,97.14286,ingenieurburo muth,ingenieurbro muth,6547137,9588a009-014a-46c0-bd6c-d0b509ccd1d4,"M - Professional, scientific and technical activities",110.0,WIESBADEN,ingenieurbro n muth gmbh &amp; co kg
ifuerel emsrtechnik gmbh & co kg,ifrel emsrtechnik gmbh & co kg,97.14286,ifurel emsrtechnik,ifrel emsrtechnik,31675268,99f26009-fc1a-4969-a4d1-a3ad984f2d65,F - Construction,522.0,HERNE,ifrel emsrtechnik gmbh &amp; co kg
cnc service ug haftungsbeschraenkt,awo kreisverband kln ug haftungsbeschrnkt,97.14286,haftungsbeschrankt,haftungsbeschrnkt,169324663,9ff54721-cb49-40a7-84c7-61bb86f3788d,C - Manufacturing,41.0,HAMM,awo district association kln ug limited liability
remko gmbh & co kg klima und waermetechnik,remko gmbh & co kg klima und wrmetechnik,97.14286,remko warmetechnik,remko wrmetechnik,2480432,a171bef8-5685-4cba-8bd5-3fce35c1b16e,C - Manufacturing,207.0,LAGE,remko gmbh &amp; co kg air conditioning and heating technology
poco einrichtungsmaerkte gmbh,poco einrichtungsmrkte gmbh,97.14286,einrichtungsmarkte,einrichtungsmrkte,2467238,a5fd71af-1225-499a-a0ae-e7e7d1918031,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,391.0,BERGKAMEN,poco furniture stores gmbh
kliniken des maintaunus kreises gmbh,kliniken des maintaunuskreises,97.14286,maintaunus kreises,maintaunuskreises,2609794,a9e6a070-645c-4ee5-8cf5-a34e08d0657a,Q - Human health and social work activities,1679.0,HOFHEIM,clinics of the maintaunus district
akg arbeitsgemeinschaft kammerleitstelle fuer beitragsbemessungsgrundlagen gmbh,akg arbeitsgemeinschaft kammerleitstelle fr beitragsbemessungsgrundlagen gmbh,97.14286,akg arbeitsgemeinschaft kammerleitstelle fur beitragsbemesungsgrundlagen,akg arbeitsgemeinschaft kammerleitstelle beitragsbemesungsgrundlagen,2467218,aa81a06d-f2a9-468c-bd05-82edb6692cbe,S - Other service activities,66.0,DORTMUND,akg working group chamber control office for contribution assessment bases gmbh
boege textilservice gmbh & co kg,bge textilservice gmbh & co kg,97.14286,boge textilservice,bge textilservice,9366187,ae38a05e-3930-4731-ac7e-8c9871314310,S - Other service activities,158.0,DUISBURG,bge textile service gmbh &amp; co kg
wuerth teleservices gmbh & cokg,wrth teleservices verwaltungs gmbh,97.14286,wurth teleservices,wrth teleservices,41215655,b143c4ba-e47a-462f-9dc7-59ef187e173e,N - Administrative and support service activities,60.0,KUENZELSAU,wrth teleservices management gmbh
oekofen heiztechnik gmbh,kofen heiztechnik gmbh,97.14286,okofen heiztechnik,kofen heiztechnik,2752819,b480c4fa-020f-4110-b036-eaf569744925,F - Construction,68.0,MICKHAUSEN,kofen heating technology gmbh
heinrich voss gebaeudetechnik gmbh,heinrich voss gebudetechnik gmbh,97.14286,vos gebaudetechnik,vos gebudetechnik,2359638,b5900c90-d212-43d5-b518-d5aed48b9a0d,F - Construction,142.0,HASELUENNE,heinrich voss building technology gmbh
meylemueller gmbhco kg,meylemller gmbhco kg,97.14286,meylemuller gmbhco,meylemller gmbhco,60519201,b6709d96-6bae-427e-99b1-e84c3ca7765f,C - Manufacturing,128.0,PFORZHEIM,meylemller gmbhco kg
medifit ruesselsheim gmbh & co kg,medifit rsselsheim,97.14286,medifit ruselsheim,medifit rselsheim,70997350,be6abaf0-555f-4ca9-82f3-ec4808419017,Q - Human health and social work activities,40.0,RUESSELSHEIM,medifit rssellsheim
buehner werbemittel gmbh & co kg,bhner werbemittel gmbh & co kg,97.14286,buhner werbemittel,bhner werbemittel,7107409,bf7f6fd0-f997-4245-838e-6d5ea55570cf,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,50.0,OSTFILDERN,bhner advertising media gmbh &amp; co kg
moebelcenter biller gmbh,mbelcenter biller gmbh,97.14286,mobelcenter biller,mbelcenter biller,7469259,c2ad58bd-a58d-428a-8cc2-feeaa8bfcbe4,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,428.0,HOF,furniture center biller gmbh
engelhardt heizung sanitaer gmbh,engelhardt heizung sanitr gmbh,97.14286,engelhardt sanitar,engelhardt sanitr,2767041,c8465520-420e-4b36-a0d3-2943c46cbbf3,F - Construction,76.0,DEININGEN,engelhardt heating sanitation gmbh
stadtreinigung hamburg aoer,die bremer stadtreinigung ar,97.14286,stadtreinigung aor,stadtreinigung ar,39187319,cb36e587-624a-4913-b023-9ab1770bbf62,"E - Water supply; sewerage, waste management and remediation activities",4018.0,HAMBURG,the bremer city cleaning service ar
gonvauto thueringen gmbh,gonvauto thringen gmbh,97.14286,gonvauto thuringen,gonvauto thringen,36746684,cf970fb5-2acb-4c14-93ca-5c825fc0eaf4,C - Manufacturing,97.0,AMT WACHSENBURG,gonvauto thringen gmbh
ingenieurbuero kuhn und partner mbb beratende ingenieure,ingenieurbro kuhn und partner mbb beratende ingenieure,97.14286,ingenieurburo kuhn,ingenieurbro kuhn,192082795,d114b410-7d5d-4ad5-ab82-d9b1825759a0,"M - Professional, scientific and technical activities",79.0,BRAUNSCHWEIG,ingenieurbro kuhn and partner mbb consulting engineers
speckpumpen walter speck gmbh & co kg,speck pumpen walter speck gmbh & co kg,97.14286,speckpumpen speck,speck pumpen speck,2789264,d4f1f241-fb03-46af-adfe-182a340f82b2,C - Manufacturing,222.0,ROTH,speck pumps walter speck gmbh &amp; co kg
thuega smartservice gmbh,thga smartservice,97.14286,thuga smartservice,thga smartservice,31716051,de09a1e4-6eef-41ff-b45e-3634be0f89e7,J - Information and communication,289.0,NAILA,thga smart service
loesch & partner gmbh projektmanagement & itconsulting,lsch & partner gmbh projektmanagement & itconsulting,97.14286,losch itconsulting,lsch itconsulting,2779954,de724dc5-d190-4407-88dc-ee619d24e006,N - Administrative and support service activities,97.0,MUENCHEN,lsch &amp; partner gmbh project management &amp; it consulting
itft industrie transport foerdertechnik gmbh,itft industrie transport frdertechnik gmbh,97.14286,itft fordertechnik,itft frdertechnik,2523655,e058b5e4-3d77-4e15-bb50-00cefb848a1f,C - Manufacturing,70.0,WEILERSWIST,itft industrial transport conveyor technology gmbh
plate bueromaterial vertriebs gmbh,plate bromaterial vertriebs gmbh,97.14286,plate buromaterial,plate bromaterial,2291703,e67a2a87-d3ae-4f2a-bc9d-99e116477d25,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,219.0,LILIENTHAL,plate bromaterial sales gmbh
sanitaetshaus riepe gmbh & co kg,sanittshaus riepe gmbh & co kg,97.14286,sanitatshaus riepe,sanittshaus riepe,2473179,e6a0127f-7680-4822-a127-84d774867a3c,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,100.0,HAGEN,sanittshaus riepe gmbh &amp; co kg
fam gebaeudedienste gmbh,fam gebudedienste gmbh,97.14286,fam gebaudedienste,fam gebudedienste,84934179,e6e7e1f3-acde-438f-959d-9a2ac435ea05,N - Administrative and support service activities,120.0,OBERHAUSEN,fam building services gmbh
haevg rechenzentrum gmbh,hvg rechenzentrum gmbh,97.14286,havg rechenzentrum,hvg rechenzentrum,68855578,ea554278-71ba-4335-a7cd-408e6611a1ff,S - Other service activities,155.0,KOELN,hvg data center gmbh
parfuemerie akzente gmbh,parfmerie akzente gmbh,97.14286,parfumerie akzente,parfmerie akzente,6547827,eae6cdb7-3e53-4a78-9852-05adf4e5fd05,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,400.0,PFEDELBACH,parfmerie akzente gmbh
gebrueder bommhardt bauunternehmen gmbh & co kg,gebrder bommhardt bauunternehmen gmbh & co kg,97.14286,gebruder bommhardt,gebrder bommhardt,2627238,eb508b5d-286a-47bc-861e-7250a57b002f,F - Construction,124.0,WALDKAPPEL,gebrder bommhardt construction company gmbh &amp; co kg
uestra hannoversche verkehrsbetriebe ag,stra hannoversche verkehrsbetriebe ag,97.14286,ustra hannoversche,stra hannoversche,58354789,ec7f868d-455d-4585-88e0-10217902f6e4,H - Transportation and storage,2423.0,HANNOVER,stra hannover transport company ag
frankenwaelder e held gmbh & co kg,frankenwlder e held gmbh & co kg,97.14286,frankenwalder held,frankenwlder held,2763167,edc8e88d-847d-4201-a6f7-37c9b891ecd2,C - Manufacturing,136.0,MUENCHBERG,frankenwalder e held gmbh &amp; co kg
schlau grosshandels gmbh & co kg,schlau grohandels gmbh,97.14286,schlau groshandels,schlau grohandels,169325401,eed578bf-8a00-49dc-bd3e-f2cc00a4d425,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,714.0,PORTA WESTFALICA,smart wholesale gmbh
barmherzige brueder trier ggmbh,barmherzige brder krankenhaus mnchen,97.14286,barmherzige bruder,barmherzige brder,49041153,f34969f2-73cc-4ce1-8f18-7a596bcd5ec7,Q - Human health and social work activities,13636.0,KOBLENZ,merciful brothers hospital munich
sparkasse osnabruck,sparkasse osnabrck,97.14286,sparkase osnabruck,sparkase osnabrck,754874,f3f51805-ff45-475f-ba94-324115fdfa01,K - Financial and insurance activities,1130.0,OSNABRUCK,savings bank osnabrck
entertainment factory film und fernsehproduktions gmbh,hans und franz film und fernsehproduktion gmbh,97.14286,fernsehproduktions,fernsehproduktion,61739847,f5b4b754-e277-4adc-aabc-e0c6c34aa482,J - Information and communication,34.0,MUENSING,hans and franz film and television production gmbh
kuhn masskonfektion gmbh & co kg,kuhn makonfektion,97.14286,kuhn maskonfektion,kuhn makonfektion,73646919,f653b82e-9c43-4f3b-b272-858e82f16ad8,C - Manufacturing,138.0,SCHNEEBERG,kuhn makonfektion
hrc gebaeudedienste gmbh,hrc gebudedienste gmbh,97.14286,hrc gebaudedienste,hrc gebudedienste,11443304,fa23f3ce-1505-4d9f-976d-02a8e3629af2,N - Administrative and support service activities,160.0,HAMBURG,hrc building services gmbh
cuno fleetservices gmbh,cuno gmbh fleetservice,97.14286,cuno fleetservices,cuno fleetservice,81837778,fb21a6c1-bcb1-47fb-87a8-35949e0f41c4,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,182.0,BERLIN,cuno gmbh fleet service
schuerrer & fleischer immobilien gmbh & cokg,schrrer & fleischer immobilien gmbh & co kg,97.14286,schurrer fleischer,schrrer fleischer,30673199,fd4c79bf-80de-42ec-8d5a-b8bfdb35f144,L - Real estate activities,121.0,BRUCHSAL,schrrer &amp; fleischer real estate gmbh &amp; co kg
roechling precision components ag,rchling precision components gmbh,97.14286,rochling precision,rchling precision,2759285,ffa0ecef-530b-4af8-8b71-991d2f4fa4bb,C - Manufacturing,162.0,WEIDENBERG,rchling precision components gmbh
universitaetsklinikum giessen und marburg gmbh,universittsklinikum gieen und marburg gmbh,97.05882,universitatsklinikum giesen marburg,universittsklinikum gieen marburg,17597520,314e6727-dba7-4dc9-8ea2-2919cc4229c0,Q - Human health and social work activities,9613.0,GIESSEN,university hospital gien and marburg gmbh
eismann und partner steuerberatungsgesellschaft,fischer & reimann steuerberatungsgesellschaft mbh,97.05882,eismann steurberatungsgesellschaft,reimann steurberatungsgesellschaft,50427693,74ddc99a-3051-48ae-8d35-1c7315568771,"M - Professional, scientific and technical activities",45.0,WEIDENBERG,fischer &amp; reimann tax consultancy company mbh
bijou brigitte modische accessories ag,bijou brigitte modische accessoires ag,97.05882,bijou brigitte modische accesories,bijou brigitte modische accesoires,2314830,a8fb7d4a-f18b-415d-bff8-41647a4ac232,C - Manufacturing,3445.0,HAMBURG,bijou brigitte fashionable accessories ag
rowi schweissgeraete und elektrowerkzeuge vertrieb gmbh,rowi schweigerte und elektrowerkzeuge vertrieb gmbh,97.05882,rowi schweisgerate elektrowerkzeuge,rowi schweigerte elektrowerkzeuge,2666700,b7d2108e-4e11-45a1-a597-44aad22b27ab,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,42.0,UBSTADT-WEIHER,rowi schweigerte and power tools sales gmbh
htu haertetechnik uhldingenmuehlhofen gmbh,htu hrtetechnik uhldingenmhlhofen gmbh,97.05882,htu hartetechnik uhldingenmuhlhofen,htu hrtetechnik uhldingenmhlhofen,2685275,d096af0a-50a3-407a-a7bb-e8937a3e0efd,C - Manufacturing,166.0,UHLDINGEN-MUEHLHOFEN,htu hrtetechnik uhldingenmhlhofen gmbh
hoergeraeteakustik flemming und klingbeil gmbh & co kg,hrgerteakustik flemming & klingbeil gmbh & co kg,97.05882,horgerateakustik flemming klingbeil,hrgerteakustik flemming klingbeil,2266496,eaf25759-5317-4368-8442-f0585a42fd51,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,93.0,BERLIN,hrgerteakustik flemming &amp; klingbeil gmbh &amp; co kg
peter huber kaeltemaschinenbau se,peter huber kltemaschinenbau ag,96.969696,kaltemaschinenbau,kltemaschinenbau,2694725,00f56dc8-0872-411a-9434-045d3dc5805e,C - Manufacturing,465.0,OFFENBURG,peter huber refrigeration engineering ag
stadtbau wuerzburg gmbh,stadtbau wrzburg gmbh,96.969696,stadtbau wurzburg,stadtbau wrzburg,2835879,06cef98c-be8a-42f5-b804-01b1d7995d66,L - Real estate activities,115.0,WUERZBURG,city construction wrzburg gmbh
heitkamp & huelscher gmbh & co kg,heitkamp & hlscher gmbh & co kg,96.969696,heitkamp hulscher,heitkamp hlscher,2497168,07138bd2-95f5-404d-a6f2-573d72e237e6,F - Construction,102.0,STADTLOHN,heitkamp &amp; hlscher gmbh &amp; co kg
flaektgroup wurzen gmbh,flktgroup wurzen gmbh,96.969696,flaktgroup wurzen,flktgroup wurzen,2412225,0aa8512e-1221-469c-b371-cc6e6229747c,C - Manufacturing,341.0,WURZEN,flktgroup wurzen gmbh
iem foerdertechnik gmbh,iem frdertechnik gmbh,96.969696,iem fordertechnik,iem frdertechnik,2756656,0fe91d1f-2b54-421b-9ccc-e91de1a35a15,C - Manufacturing,252.0,KASTL,iem conveyor technology gmbh
kraeuterhaus sanct bernhard kg,kruterhaus sanct bernhard kg,96.969696,krauterhaus sanct,kruterhaus sanct,18296080,15fce718-bf07-4e80-b57d-a0d129f09be2,G - Wholesale and retail trade; repair of motor vehicles and motorcycles,500.0,BAD DITZENBACH,herb house sanct bernhard kg
peter doehle schiffahrtskg,peter dhle schiffahrtskg,96.969696,dohle schiffahrts,dhle schiffahrts,2315698,163e31fc-fb84-4fe1-8769-be25f337ee19,H - Transportation and storage,200.0,HAMBURG,peter dhle shipping kg
